datetime,city,state,number,country,shape,duration(seconds),duration(hours/min),comments,dateposted,latitude,longitude
10/30/2004 22:35,glendale,az,1,United States,circle,480,5-8 mnutes,Red cirlular object over the sky in Glendale&#44Arizona&#44 October 30&#44 2004.,11-09-04,33.5386111,-112.1852778
10/30/2004 23:30,glencoe,il,1,United States,formation,900,15 min,3 horizontal equally spaced lights in the sky way too big to be an aircraft,11-02-04,42.135,-87.7580556
10/30/2005 00:00,preston,md,1,United States,diamond,900,15 min,Diamond shaped  silent &#44 low flying craft  sighted near preston.   Anyone else see it?,11-03-05,38.7125,-75.9102778
10/30/2005 01:50,starkville,ms,1,United States,flash,2,2 seconds,Flash of bright green light streaked across the sky for about 2 seconds.,11-03-05,33.4502778,-88.8183333
10/30/2005 02:30,flagstaff,az,1,United States,triangle,60,1 minute,triangular shape object with lights on all three points moving slowly north bound quik flash and disapeares,2/14/2006,35.1980556,-111.6505556
10/30/2005 03:00,edwards afb,Canada,1,Unknown,triangle,60,1 minute,Black Triangle Craft Spotted.  ((NUFORC Note:  Possibly a hoaxed report??  PD)),2/14/2010,34.924031,-117.891208
10/30/2005 04:31,l&#180;arbo&ccedil; (catalunya) (spain),Unknown,1,Unknown,disk,2220,37 min,OBJETO TIPO DISCO VISTO EN DEP&Ograve;SITO DE AGUA &#44 ENCIMA ANTENA DE R&Agrave;DIO L&#180;ARBO&Ccedil; 106.8 FM MET&Agrave;LICO. ESTATICO POSADO ENCIMA DEL CUERPO D,11-03-05,41.265988,1.602034
10/30/2005 06:00,osierfield,ga,1,United States,light,900,15 minutes,A point of light made a circle&#44 an x&#44 a z&#44then it rose up and 6 fainter lights combined with it (3 from each side) then it disappeared,11-03-05,31.6669444,-83.1161111
10/30/2005 11:00,perris,Canada,1,United States,other,240,4 min,7 SPHERIC OBJECT HOVERING,11-03-05,33.7825,-117.2277778
10/30/2005 13:00,indianapolis,in,1,United States,cylinder,180,3 min,Object was a silver cylinder with a bright flourescent blue round top.  It reminded me of a wand or staff.,11-08-05,39.7683333,-86.1580556
10/30/2005 18:30,marin,Canada,1,Unknown,light,3,3 seconds,strange green lights over Marin then they disappeared,11-03-05,38.083403,-122.763304
10/30/2005 19:00,turnpike,nj,1,Unknown,diamond,1800,30 minutes,BRIGHT LIGHT AND 15 UFO FLYING AROUND IN NJ TURNPIKE  2005  ((NUFORC Note:  May not be a serious report.  PD)),11-03-05,40.177431,-74.629447
10/30/2005 19:15,porterville,Canada,1,United States,sphere,30,30 seconds,bright light  going and coming in the sky in Porterville Calif.,11-03-05,36.0652778,-119.0158333
10/30/2005 19:28,mission viejo,Canada,1,United States,other,2.5,2.5 seconds,Huge&#44 white meteroid with red flames and brown tail-burns out right over houses&#33,11-03-05,33.6,-117.6711111
10/30/2005 19:28,sonoma,Canada,1,United States,fireball,2,2 sec.,Fireball over the Sonoma Valley,11-08-05,38.2919444,-122.4569444
10/30/2005 19:30,kelseyville,Canada,1,United States,fireball,15,15 seconds,Fast moving fire ball with massive flash in the sky.,11-03-05,38.9780556,-122.8383333
10/30/2005 19:30,porterville,Canada,1,United States,unknown,30,30 seconds,Light over Porterville&#44 Ca.,11-08-05,36.0652778,-119.0158333
10/30/2005 20:00,rachel,nv,1,United States,other,2700,45 minutes,AFTER ENJOYING A BURGER AT THE LITTLE ALI-INN&#8230;,11-03-05,37.6447222,-115.7427778
10/30/2005 21:00,litchfield,ct,1,United States,light,7200,few hours,strange lights in sky,11-03-05,41.7472222,-73.1891667
10/30/2005 21:30,silver spring,md,1,United States,triangle,1500,25 minutes,solid triangle with white lights and no sound hovered and glided,02-01-07,38.9905556,-77.0263889
